7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.265029
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.314918
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.384736
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.446432
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.520265
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.572108
Complete Duration,0:00:59.175967
7.9_raw.csv_filtered_by_correlation4_SNR4_all_replacement_strategy_4,2022-11-28 15:16:44.758787
Complete Duration,0:00:00.047967
Complete Duration,0:00:00.049243
Complete Duration,0:00:00.041421
Complete Duration,0:00:00.046835
Complete Duration,0:00:00.047986
Complete Duration,0:00:00.047964
Complete Duration,0:00:00.047968
7.9_raw.csv_filtered_by_correlation4_SNR5_all_replacement_strategy_1,2022-11-28 15:45:59.133100
Complete Duration,0:00:00.031215
Complete Duration,0:00:00.047962
Complete Duration,0:00:00.039944
Complete Duration,0:00:00.039975
7.9_raw.csv_filtered_by_correlation4_all_replacement_strategy_1,2022-11-28 15:47:38.736336
Complete Duration,0:00:00.062513
Complete Duration,0:00:00.047934
Complete Duration,0:00:00.040005
Complete Duration,0:00:00.047943
Complete Duration,0:00:00.047911
7.9_raw.csv_filtered_by_correlation4_SNR5_all_replacement_strategy_1,2022-11-28 15:48:50.944981
Complete Duration,0:00:00.031244
Complete Duration,0:00:00.039978
Complete Duration,0:00:00.039949
Complete Duration,0:00:00.047940
Complete Duration,0:00:00.047951
7.9_raw.csv_filtered_by_correlation4_SNR5_all_replacement_strategy_1,2022-11-28 15:49:39.378463
Complete Duration,0:00:00.031252
Complete Duration,0:00:00.039948
7.9_raw.csv_filtered_by_correlation1_SNR1_all_replacement_strategy_1,2022-11-28 15:50:20.078630
Complete Duration,0:00:00.046864
Complete Duration,0:00:00.039948
Complete Duration,0:00:00.039973
7.9_raw.csv_filtered_by_correlation1_all_replacement_strategy_1,2022-11-28 15:52:02.036119
Complete Duration,0:00:00.062452
Complete Duration,0:00:00.055935
Complete Duration,0:00:00.063960
7.9_raw.csv_filtered_by_correlation1_SNR1_all_replacement_strategy_1,2022-11-28 15:53:25.155502
Complete Duration,0:00:00.062471
Complete Duration,0:00:00.055361
Complete Duration,0:00:00.062480
Complete Duration,0:00:00.062481
Complete Duration,0:00:00.055964
Complete Duration,0:00:00.078076
Complete Duration,0:00:00.071932
Complete Duration,0:00:00.055936
Complete Duration,0:00:00.055964
Complete Duration,0:00:00.064000
Complete Duration,0:00:00.063925
Complete Duration,0:00:00.063930
Complete Duration,0:00:00.063929
7.9_raw.csv_filtered_by_correlation2_SNR3_all_replacement_strategy_1,2022-11-28 16:01:11.722542
7.9_raw.csv_filtered_by_correlation2_SNR3_individual_replacement_strategy_1,2022-11-28 16:01:11.849344
7.6_raw.csv_filtered_by_correlation2_SNR3_all_replacement_strategy_1,2022-11-28 16:01:12.003579
7.6_raw.csv_filtered_by_correlation2_SNR3_individual_replacement_strategy_1,2022-11-28 16:01:12.121823
7.2_raw.csv_filtered_by_correlation2_SNR3_all_replacement_strategy_1,2022-11-28 16:01:12.280141
7.2_raw.csv_filtered_by_correlation2_SNR3_individual_replacement_strategy_1,2022-11-28 16:01:12.405561
Complete Duration,0:00:00.899210
Complete Duration,0:00:00.046854
Complete Duration,0:00:00.046868
Complete Duration,0:00:00.055945
Complete Duration,0:00:00.062456
Complete Duration,0:00:00.078104
Complete Duration,0:00:00.062453
Complete Duration,0:00:00.062456
Complete Duration,0:00:00.063923
Complete Duration,0:00:00.063946
Complete Duration,0:00:00.071952
Complete Duration,0:00:00.063989
Complete Duration,0:00:00.070914
Complete Duration,0:00:00.119901
Complete Duration,0:00:00.582632
Complete Duration,0:00:00.071953
Complete Duration,0:00:00.063938
Complete Duration,0:00:00.071948
Complete Duration,0:00:00.063927
Complete Duration,0:00:00.065935
7.9_raw.csv_filtered_by_SNR1_all_replacement_strategy_1,2022-11-28 22:32:50.922414
7.9_raw.csv_filtered_by_SNR1_individual_replacement_strategy_1,2022-11-28 22:32:51.050359
7.9_raw.csv_filtered_by_SNR1_all_replacement_strategy_2,2022-11-28 22:32:51.170276
7.9_raw.csv_filtered_by_SNR1_individual_replacement_strategy_2,2022-11-28 22:32:51.274222
7.9_raw.csv_filtered_by_SNR1_all_replacement_strategy_3,2022-11-28 22:32:51.399220
7.9_raw.csv_filtered_by_SNR1_individual_replacement_strategy_3,2022-11-28 22:32:51.526217
7.9_raw.csv_filtered_by_SNR1_all_replacement_strategy_4,2022-11-28 22:32:51.652369
7.9_raw.csv_filtered_by_SNR1_individual_replacement_strategy_4,2022-11-28 22:32:51.770189
7.9_raw.csv_filtered_by_SNR1_all_replacement_strategy_5,2022-11-28 22:32:51.888791
7.9_raw.csv_filtered_by_SNR1_individual_replacement_strategy_5,2022-11-28 22:32:51.998168
7.6_raw.csv_filtered_by_SNR1_all_replacement_strategy_1,2022-11-28 22:32:52.172977
7.6_raw.csv_filtered_by_SNR1_individual_replacement_strategy_1,2022-11-28 22:32:52.291962
7.6_raw.csv_filtered_by_SNR1_all_replacement_strategy_2,2022-11-28 22:32:52.416934
7.6_raw.csv_filtered_by_SNR1_individual_replacement_strategy_2,2022-11-28 22:32:52.535754
7.6_raw.csv_filtered_by_SNR1_all_replacement_strategy_3,2022-11-28 22:32:52.654000
7.6_raw.csv_filtered_by_SNR1_individual_replacement_strategy_3,2022-11-28 22:32:52.771895
7.6_raw.csv_filtered_by_SNR1_all_replacement_strategy_4,2022-11-28 22:32:52.890795
7.6_raw.csv_filtered_by_SNR1_individual_replacement_strategy_4,2022-11-28 22:32:53.000173
7.6_raw.csv_filtered_by_SNR1_all_replacement_strategy_5,2022-11-28 22:32:53.126859
7.6_raw.csv_filtered_by_SNR1_individual_replacement_strategy_5,2022-11-28 22:32:53.244684
7.2_raw.csv_filtered_by_SNR1_all_replacement_strategy_1,2022-11-28 22:32:53.386143
7.2_raw.csv_filtered_by_SNR1_individual_replacement_strategy_1,2022-11-28 22:32:53.505194
7.2_raw.csv_filtered_by_SNR1_all_replacement_strategy_2,2022-11-28 22:32:53.622985
7.2_raw.csv_filtered_by_SNR1_individual_replacement_strategy_2,2022-11-28 22:32:53.741476
7.2_raw.csv_filtered_by_SNR1_all_replacement_strategy_3,2022-11-28 22:32:53.867727
7.2_raw.csv_filtered_by_SNR1_individual_replacement_strategy_3,2022-11-28 22:32:53.985248
7.2_raw.csv_filtered_by_SNR1_all_replacement_strategy_4,2022-11-28 22:32:54.104009
7.2_raw.csv_filtered_by_SNR1_individual_replacement_strategy_4,2022-11-28 22:32:54.229352
7.2_raw.csv_filtered_by_SNR1_all_replacement_strategy_5,2022-11-28 22:32:54.340316
7.2_raw.csv_filtered_by_SNR1_individual_replacement_strategy_5,2022-11-28 22:32:54.466456
Complete Duration,0:00:03.757866
Complete Duration,0:00:00.078104
Complete Duration,0:00:00.055937
Complete Duration,0:00:00.063954
Complete Duration,0:00:00.063960
Complete Duration,0:00:00.055936
Complete Duration,0:00:00.063968
Complete Duration,0:00:00.063927
Complete Duration,0:00:00.068978
Complete Duration,0:00:00.071924
Complete Duration,0:00:00.063956
Complete Duration,0:00:00.071982
Complete Duration,0:00:00.068992
Complete Duration,0:00:00.063931
Complete Duration,0:00:00.063955
Complete Duration,0:00:00.063924
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-28 22:35:04.621109
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-28 22:35:05.888893
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-28 22:35:07.318029
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-28 22:35:08.571801
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-28 22:35:10.006645
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-28 22:35:11.250990
Complete Duration,0:00:08.232222
Complete Duration,0:00:00.072690
Complete Duration,0:00:00.071919
Complete Duration,0:00:00.063958
Complete Duration,0:00:00.071953
Complete Duration,0:00:00.073931
Complete Duration,0:00:00.063929
Complete Duration,0:00:00.071950
Complete Duration,0:00:00.063924
7.9_raw.csv_filtered_by_correlation5_SNR4_all_replacement_strategy_2,2022-11-28 22:37:26.982705
7.9_raw.csv_filtered_by_correlation5_SNR4_individual_replacement_strategy_2,2022-11-28 22:37:27.102355
7.6_raw.csv_filtered_by_correlation5_SNR4_all_replacement_strategy_2,2022-11-28 22:37:27.245221
7.6_raw.csv_filtered_by_correlation5_SNR4_individual_replacement_strategy_2,2022-11-28 22:37:27.364023
7.2_raw.csv_filtered_by_correlation5_SNR4_all_replacement_strategy_2,2022-11-28 22:37:27.514082
7.2_raw.csv_filtered_by_correlation5_SNR4_individual_replacement_strategy_2,2022-11-28 22:37:27.631562
Complete Duration,0:00:00.866872
Complete Duration,0:00:00.071953
7.9_raw.csv_filtered_by_correlation3_all_replacement_strategy_0,2022-11-28 22:40:10.869650
7.9_raw.csv_filtered_by_correlation3_individual_replacement_strategy_0,2022-11-28 22:40:10.989572
7.6_raw.csv_filtered_by_correlation3_all_replacement_strategy_0,2022-11-28 22:40:11.132454
7.6_raw.csv_filtered_by_correlation3_individual_replacement_strategy_0,2022-11-28 22:40:11.251520
7.2_raw.csv_filtered_by_correlation3_all_replacement_strategy_0,2022-11-28 22:40:11.394214
7.2_raw.csv_filtered_by_correlation3_individual_replacement_strategy_0,2022-11-28 22:40:11.511593
Complete Duration,0:00:00.865821
Complete Duration,0:00:00.546684
Complete Duration,0:00:00.328921
Complete Duration,0:00:00.039975
Complete Duration,0:00:00.048000
Complete Duration,0:00:00.039979
Complete Duration,0:00:00.039974
Complete Duration,0:00:00.047986
Complete Duration,0:00:00.048012
Complete Duration,0:00:00.047972
Complete Duration,0:00:00.039990
Complete Duration,0:00:00.048000
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-29 22:06:04.984050
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-29 22:06:05.314396
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-29 22:06:05.622085
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-29 22:06:05.960174
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_1,2022-11-29 22:06:06.267032
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_1,2022-11-29 22:06:06.574970
Complete Duration,0:00:01.967148
